Combination,Feature,Percentage,Algorithm,Min MAE,FeatureSet,TranslatedFeatureSet
combination_3_ABCDF,D,20,SVM,0.9641685869422678,ABCDF,δ13C coll_δ15N coll_δ13C carb_δ18O carb_δ34S coll
combination_3_ABCDF,D,20,RandomForest,1.015268095238096,ABD,δ13C coll_δ15N coll_δ18O carb
combination_3_ABCDF,F,10,KNN,0.6157999999999999,BF,δ15N coll_δ34S coll
combination_3_ABCDF,F,10,SVM,0.9342757305733403,AF,δ13C coll_δ34S coll
combination_3_ABCDF,F,10,RandomForest,0.8208699999999988,AF,δ13C coll_δ34S coll
combination_3_ABCDF,F,15,KNN,0.8509333333333334,F,δ34S coll
combination_3_ABCDF,F,15,SVM,1.0539618730310811,ADF,δ13C coll_δ18O carb_δ34S coll
combination_3_ABCDF,F,15,RandomForest,1.0091139999999998,CF,δ13C carb_δ34S coll
combination_3_ABCDF,F,20,KNN,0.946855238095238,F,δ34S coll
combination_3_ABCDF,F,20,SVM,1.1337722772637737,AF,δ13C coll_δ34S coll
combination_3_ABCDF,F,20,RandomForest,0.9826490476190466,AF,δ13C coll_δ34S coll
