Combination,Feature,Percentage,Algorithm,Min RMSE,Min NRMSE,Min MAE,FeatureSet Removal Scenario
combination_3_ABCDF,B,10,KNN,0.47559332178230074,0.0641826345185291,0.1571333333333333,ABD
combination_3_ABCDF,B,10,BayesianRidge,0.40674581361055173,0.05489147282193681,0.12461551178023185,BDF
combination_3_ABCDF,B,10,RandomForest,0.2873832610809737,0.038783166137783216,0.09317499999999976,BD
combination_3_ABCDF,B,15,KNN,0.5299343281478158,0.07151610366367285,0.18531666666666663,BCDF
combination_3_ABCDF,B,15,BayesianRidge,0.44442969402486066,0.05997701673749804,0.1480311894854093,BDF
combination_3_ABCDF,B,15,RandomForest,0.38415549252505177,0.051842846494608866,0.12890499999999974,BC
combination_3_ABCDF,B,20,KNN,0.7090198701869588,0.09568419300768674,0.30510833333333337,BCF
combination_3_ABCDF,B,20,BayesianRidge,0.715473835253013,0.09655517344844979,0.26497695441315927,BD
combination_3_ABCDF,B,20,RandomForest,0.5059502191431912,0.06827938180070055,0.20298833333333324,BC
combination_3_ABCDF,C,10,KNN,0.48007960917500636,0.0796151922346611,0.15310833333333335,BCDF
combination_3_ABCDF,C,10,BayesianRidge,0.30681570333542585,0.05088154284169584,0.09477263804843145,BC
combination_3_ABCDF,C,10,RandomForest,0.31500086613216505,0.052238949607324225,0.07794416666666665,ACF
combination_3_ABCDF,C,15,KNN,0.5881977515440674,0.09754523242853523,0.2201083333333333,ABCD
combination_3_ABCDF,C,15,BayesianRidge,0.4657561292300215,0.07723982242620589,0.14793927366220344,BCF
combination_3_ABCDF,C,15,RandomForest,0.4370745230503813,0.07248333715595047,0.13586833333333317,ACF
combination_3_ABCDF,C,20,KNN,0.6551400114761995,0.10864676807233824,0.25645833333333334,ABCD
combination_3_ABCDF,C,20,BayesianRidge,0.5393738709210741,0.08944840313782325,0.23357726796575856,ACDF
combination_3_ABCDF,C,20,RandomForest,0.5456415857997966,0.09048782517409562,0.21988166666666675,ABCF
combination_3_ABCDF,D,10,KNN,0.250758088963273,0.04767264048731425,0.06023333333333335,ABCD
combination_3_ABCDF,D,10,BayesianRidge,0.24585553511602817,0.04674059602966314,0.05823015558001834,ABCD
combination_3_ABCDF,D,10,RandomForest,0.2429360842074942,0.046185567339827795,0.0638833333333335,ABCD
combination_3_ABCDF,D,15,KNN,0.42108286771649867,0.08005377713241418,0.14704999999999996,ABCD
