Combination,FeatureComb,Percentage,Algorithm,Mean RMSE,Mean NRMSE
combination_1_ABCD,BD,20,RandomForest,0.5859595592236806,0.08295324595664083
combination_1_ABCD,CD,20,KNN,0.6497686364335828,0.1059516402970829
combination_1_ABCD,CD,20,MICE,0.6142020482602824,0.10008680515348597
combination_1_ABCD,CD,20,RandomForest,0.6438135057750067,0.10496906925212823
combination_1_ABCD,ABC,20,KNN,0.7198209481185819,0.1043719230523637
combination_1_ABCD,ABC,20,MICE,0.6837023743848272,0.10003689471612284
combination_1_ABCD,ABC,20,RandomForest,0.7317210078477382,0.10669997941948649
combination_1_ABCD,ABD,20,KNN,0.6307463007038964,0.092245111384812
combination_1_ABCD,ABD,20,MICE,0.5750484597504368,0.08506105196637798
combination_1_ABCD,ABD,20,RandomForest,0.6353820407364008,0.09419994077215856
combination_1_ABCD,ACD,20,KNN,0.5648706169413765,0.09345024017386643
combination_1_ABCD,ACD,20,MICE,0.5550588703156336,0.0917662698106354
combination_1_ABCD,ACD,20,RandomForest,0.5820022140895598,0.09628035678141258
combination_1_ABCD,BCD,20,KNN,0.6752510569081133,0.09942628915803998
combination_1_ABCD,BCD,20,MICE,0.6685922037691701,0.09858139070247791
combination_1_ABCD,BCD,20,RandomForest,0.6583379063125285,0.09792627850964392
combination_1_ABCD,ABCD,20,KNN,0.6512865588736945,0.09792480867525963
combination_1_ABCD,ABCD,20,MICE,0.62690480460583,0.09454590113336483
combination_1_ABCD,ABCD,20,RandomForest,0.6650851577327469,0.1000924674991754
combination_2_ABCDE,A,10,KNN,0.2600766156402061,0.045152190215313553
combination_2_ABCDE,A,10,MICE,0.2780615732671697,0.04827457869221694
combination_2_ABCDE,A,10,RandomForest,0.2616534735088023,0.045425950261944834
combination_2_ABCDE,B,10,KNN,0.4968274556147124,0.05985872959213402
combination_2_ABCDE,B,10,MICE,0.5200334510786612,0.06265463266007965
combination_2_ABCDE,B,10,RandomForest,0.5265404153415508,0.06343860425801817
combination_2_ABCDE,C,10,KNN,0.5757900846960284,0.09081862534637672
combination_2_ABCDE,C,10,MICE,0.5308519425891242,0.083730590313742
combination_2_ABCDE,C,10,RandomForest,0.5420350539012481,0.08549448799704229
combination_2_ABCDE,D,10,KNN,0.34970475982375876,0.05988095202461622
combination_2_ABCDE,D,10,MICE,0.31447252623348787,0.053848035313953393
combination_2_ABCDE,D,10,RandomForest,0.32117423929405536,0.054995588920214965
combination_2_ABCDE,E,10,KNN,0.2722104670407627,0.046137367295044515
combination_2_ABCDE,E,10,MICE,0.26190508306711435,0.044390692045273614
combination_2_ABCDE,E,10,RandomForest,0.26390179848153006,0.04472911838670002
combination_2_ABCDE,AB,10,KNN,0.4201202701289308,0.05759524649552757
combination_2_ABCDE,AB,10,MICE,0.4385736839415325,0.059848642271055685
combination_2_ABCDE,AB,10,RandomForest,0.40431890644227053,0.054686293880163404
combination_2_ABCDE,AC,10,KNN,0.4217737968672187,0.06863231777519871
combination_2_ABCDE,AC,10,MICE,0.438911531277158,0.07142961525897623
combination_2_ABCDE,AC,10,RandomForest,0.42384358630819935,0.06895404626889363
combination_2_ABCDE,AD,10,KNN,0.3431402261471621,0.0590411551769375
combination_2_ABCDE,AD,10,MICE,0.3370577263319642,0.058038717334082446
combination_2_ABCDE,AD,10,RandomForest,0.3167737375468408,0.054529486514899805
combination_2_ABCDE,AE,10,KNN,0.29616848563448095,0.05072558768639037
combination_2_ABCDE,AE,10,MICE,0.30353989115245394,0.052020904259809944
combination_2_ABCDE,AE,10,RandomForest,0.2968675031900141,0.05083572206279272
combination_2_ABCDE,BC,10,KNN,0.5456873849160585,0.07661053014896929
combination_2_ABCDE,BC,10,MICE,0.5600930689249385,0.0786815124740204
combination_2_ABCDE,BC,10,RandomForest,0.5580046205807168,0.07808450359190368
combination_2_ABCDE,BD,10,KNN,0.48530722627035666,0.0701218486834803
combination_2_ABCDE,BD,10,MICE,0.47142939853953647,0.06721514555199981
combination_2_ABCDE,BD,10,RandomForest,0.47025394344869076,0.06688663489448828
combination_2_ABCDE,BE,10,KNN,0.41717515410074313,0.05829876172517232
combination_2_ABCDE,BE,10,MICE,0.425317656265897,0.059278678498222416
combination_2_ABCDE,BE,10,RandomForest,0.4297237926817651,0.05971279058920274
combination_2_ABCDE,CD,10,KNN,0.49681501878571954,0.08136467179370618
combination_2_ABCDE,CD,10,MICE,0.4652326600872108,0.0761246992068754
combination_2_ABCDE,CD,10,RandomForest,0.4649636323527021,0.0760419990409747
combination_2_ABCDE,CE,10,KNN,0.4415528680659177,0.07162567312025891
combination_2_ABCDE,CE,10,MICE,0.4316907113614734,0.07003169928841997
combination_2_ABCDE,CE,10,RandomForest,0.438337189428346,0.07116322410198521
combination_2_ABCDE,DE,10,KNN,0.34800658306468873,0.059294317928094
combination_2_ABCDE,DE,10,MICE,0.32093155063845613,0.054669018128613356
combination_2_ABCDE,DE,10,RandomForest,0.32421263089182806,0.055214732907693256
